State,X,Y
jammu and kashmir,-81,178
himachal pradesh,-33,140
uttarakhand,-44,11]
punjab,-91,126
haryana,-80,105
rajasthan,-108,70
gujarat,-140,23
uttar pradesh,-28,77
madhya pradesh,-61,25
bihar,41,61
jharkhand,29,33
maharashtra,-84,-27
sikkim,70,89
west bengal,65,28
arunachal pradesh,349,113
assam,132,76
meghalaya,97,62
tripura,114,39
mizoram,135,27
manipur,144,57
nagaland,152,76
chhattisgarh,-5,3
odisha,34,-11
karnataka,-88,-87
kerala,-33,-169
tamil nadu,-39,-142
andhra pradesh,-33,-88
telangana,-49,-43
goa,-106,-86

